timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2021-12-20T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-24T19:11:02.000Z";"2021-12-20T14:23:02.000Z";"2781";46707.0644512279;51814.0285054983;45579.8101425366;50809.5150128895;175052499791.39;960899995734.95;"2021-12-26T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-13T00:17:02.000Z";"2021-12-18T02:06:02.000Z";"2781";50114.7409911263;50204.9982632709;45598.4426124471;46707.0148769996;214770398201.58;883011296029.52;"2021-12-19T23:59:59.999Z"
"2021-12-06T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-07T15:46:02.000Z";"2021-12-11T00:19:02.000Z";"2781";49413.4790992129;51934.7818955124;46942.3478207253;50098.3351363893;208148497531.9;946823114554.82;"2021-12-12T23:59:59.999Z"
"2021-11-29T00:00:00.000Z";"2021-12-05T23:59:59.999Z";"2021-11-30T15:17:04.000Z";"2021-12-04T05:28:02.000Z";"2781";57291.904734501;59113.4009013998;42874.6168583905;49368.8470992255;276690611811.11;932695365142.4;"2021-12-05T23:59:59.999Z"
"2021-11-22T00:00:00.000Z";"2021-11-28T23:59:59.999Z";"2021-11-25T16:05:02.000Z";"2021-11-26T23:59:02.000Z";"2781";58706.8493839442;59367.9679943132;53569.7639630968;57248.458375824;243930001010.55;1081180416261.97;"2021-11-28T23:59:59.999Z"
"2021-11-15T00:00:00.000Z";"2021-11-21T23:59:59.999Z";"2021-11-15T09:15:02.000Z";"2021-11-19T03:46:02.000Z";"2781";65521.2893420962;66281.5697112403;55705.1806847159;58730.4766386507;253419951009.38;1108812311532.82;"2021-11-21T23:59:59.999Z"
"2021-11-08T00:00:00.000Z";"2021-11-14T23:59:59.999Z";"2021-11-10T14:17:02.000Z";"2021-11-12T16:46:02.000Z";"2781";63344.0672220101;68789.6259389221;62333.913107848;65466.8410240344;259776276520.66;1235578996842.01;"2021-11-14T23:59:59.999Z"
"2021-11-01T00:00:00.000Z";"2021-11-07T23:59:59.999Z";"2021-11-02T16:02:02.000Z";"2021-11-01T04:03:02.000Z";"2781";61320.4494915952;64242.7948907842;59695.1830931488;63326.9890280992;227064607869.94;1194778776481.15;"2021-11-07T23:59:59.999Z"
"2021-10-25T00:00:00.000Z";"2021-10-31T23:59:59.999Z";"2021-10-25T16:54:02.000Z";"2021-10-28T18:40:02.000Z";"2781";60893.927575725;63729.325708052;58206.9178554768;61318.957766606;256114057651.43;1156485845063.1;"2021-10-31T23:59:59.999Z"
"2021-10-18T00:00:00.000Z";"2021-10-24T23:59:59.999Z";"2021-10-20T14:53:02.000Z";"2021-10-24T16:11:02.000Z";"2781";61548.8034342065;66930.3872709899;59643.3453781125;60930.8364421796;257856648062.75;1148743134467.63;"2021-10-24T23:59:59.999Z"
"2021-10-11T00:00:00.000Z";"2021-10-17T23:59:59.999Z";"2021-10-15T20:28:02.000Z";"2021-10-13T09:10:02.000Z";"2781";54734.124840616;62757.1297029724;54370.9732279075;61553.6173846995;277084548344.56;1160077513367.6;"2021-10-17T23:59:59.999Z"
"2021-10-04T00:00:00.000Z";"2021-10-10T23:59:59.999Z";"2021-10-10T20:27:02.000Z";"2021-10-04T15:03:02.000Z";"2781";48208.9076325084;56401.3042407744;47045.0037471323;54771.5791838546;261919545520.25;1031909532688.09;"2021-10-10T23:59:59.999Z"
"2021-09-27T00:00:00.000Z";"2021-10-03T23:59:59.999Z";"2021-10-03T18:06:02.000Z";"2021-09-29T00:16:02.000Z";"2781";43234.1849294127;49130.6922101816;40829.6692762765;48199.9515572655;223042115392.54;907791525235.94;"2021-10-03T23:59:59.999Z"
"2021-09-20T00:00:00.000Z";"2021-09-26T23:59:59.999Z";"2021-09-20T00:02:02.000Z";"2021-09-21T21:20:02.000Z";"2781";47261.4064989217;47328.1988417819;39787.6097979604;43208.5391045354;270099994433.51;813490665612.76;"2021-09-26T23:59:59.999Z"
