signal_type,entry_time,exit_time,entry_price,exit_price,extreme_price,max_gain_pct,max_drop_pct,final_return_pct,duration_to_extreme,holding_period_duration,waiting_period_duration,macd_value,signal_value,histogram_value
BUY,2024-06-04,2024-06-09,70537.84,69648.14,71108.0,0.8083037416512945,,-1.261308823746229,1,5.0,,228.37230475583056,223.4497253529347,4.922579402895849
SELL,2024-06-09,2024-07-13,69648.14,59204.02,55857.81,,19.799997530443743,14.995547619792864,28,,34.0,233.42388249655778,238.29501017554884,-4.8711276789910585
BUY,2024-07-13,2024-08-01,59204.02,65354.02,68249.88,15.279131383308107,,10.3878081251915,15,19.0,,-406.1945594368153,-421.50827300670403,15.313713569888705
SELL,2024-08-01,2024-08-20,65354.02,59013.8,54018.81,,17.344319446607877,9.701346604233365,4,,19.0,225.77973006333923,225.9338576857392,-0.154127622399983
BUY,2024-08-20,2024-08-30,59013.8,59123.99,64220.0,8.822004344746476,,0.18671903859774333,5,10.0,,-221.43295245808258,-225.8014026314122,4.36845017332962
SELL,2024-08-30,2024-09-12,59123.99,58132.32,53962.97,,8.729147001073501,1.6772717808794677,7,,13.0,-59.707048371448764,-59.20463265483489,-0.502415716613875
BUY,2024-09-12,2024-10-02,58132.32,60649.28,65858.0,13.289818813355463,,4.329708499505953,16,20.0,,-214.77255806273024,-221.40703036971607,6.634472306985828
SELL,2024-10-02,2024-10-14,60649.28,66083.99,60326.39,,0.5323888428683728,-8.960881316315719,8,,12.0,207.34688208091393,238.483208602126,-31.136326521212084
BUY,2024-10-14,2024-11-03,66083.99,68775.99,72736.42,10.066628846109312,,4.073603909207056,15,20.0,,112.51780988472456,96.8142452640853,15.703564620639256
SELL,2024-11-03,2024-11-06,68775.99,75571.99,67850.01,,1.3463710227944525,-9.881355397428667,1,,3.0,338.7680197922309,350.0172633034287,-11.24924351119779
BUY,2024-11-06,2024-11-26,75571.99,91965.16,98892.0,30.858007047320037,,21.692124291023696,16,20.0,,358.49005022182246,336.10905490516933,22.380995316653127
SELL,2024-11-26,2024-12-17,91965.16,106133.74,91965.16,,0.0,-15.40646479601623,0,,21.0,1276.312258814447,1296.4599336856263,-20.147674871179333
BUY,2024-12-17,2024-12-18,106133.74,100204.01,106133.74,0.0,,-5.587035753192161,0,1.0,,831.5572746326361,826.6161371890007,4.941137443635398
SELL,2024-12-18,2025-01-06,100204.01,102235.6,92792.05,,7.396869646234709,-2.0274537915199313,12,,19.0,764.0725206516945,814.1074138815396,-50.034893229845125
BUY,2025-01-06,2025-01-08,102235.6,95060.61,102235.6,0.0,,-7.018093501676524,0,2.0,,83.99005904313526,45.294411280445864,38.6956477626894
SELL,2025-01-08,2025-01-15,95060.61,100497.35,92552.49,,2.638442989162383,-5.719235338380434,1,,7.0,34.67085995944217,47.253211594998525,-12.582351635556357
BUY,2025-01-15,2025-01-31,100497.35,102429.56,106143.82,5.618526259647643,,1.9226477116063179,6,16.0,,-18.24714329879498,-39.65816414870686,21.41102084991188
SELL,2025-01-31,2025-03-16,102429.56,82574.53,78595.86,,23.2683807291567,19.384082095051465,38,,44.0,321.34135732571303,329.5914010874137,-8.250043761700681
BUY,2025-03-16,2025-04-06,82574.53,78430.0,87498.16,5.962649741996721,,-5.019138467999755,8,21.0,,-649.645541544116,-653.1680265204097,3.522484976293754
SELL,2025-04-06,2025-04-11,78430.0,83423.84,76322.42,,2.6872115262017107,-6.367257427004969,2,,5.0,-277.5706101169344,-254.07764808371317,-23.492962033221232
BUY,2025-04-11,2025-05-25,83423.84,109004.19,111696.21,33.89003670893118,,30.663117401452638,41,44.0,,-308.61357076870627,-310.0522643912948,1.4386936225885165
SELL,2025-05-25,2025-06-27,109004.19,107047.59,100963.87,,7.376156824797292,1.7949768719899717,28,,33.0,825.4221214524732,826.8977283452903,-1.4756068928170407
